,time,strain1,strain2,strain3,strain4,raw_strain_strain2,stress_strain2
434,88260,114,112,102,125,2.9549546979978913e-05,0.0020359637869205474
435,88462,111,108,107,121,0.0,0.0
436,88664,111,108,106,122,0.0,0.0
437,88863,112,108,107,121,0.0,0.0
438,89064,113,112,100,121,2.9549546979978913e-05,0.0020359637869205474
439,89263,112,112,100,124,2.9549546979978913e-05,0.0020359637869205474
440,89464,111,108,106,121,0.0,0.0
441,89665,111,108,106,121,0.0,0.0
442,89865,113,112,99,124,2.9549546979978913e-05,0.0020359637869205474
443,90066,112,112,98,120,2.9549546979978913e-05,0.0020359637869205474
444,90267,111,108,106,121,0.0,0.0
445,90471,111,112,96,118,2.9549546979978913e-05,0.0020359637869205474
446,90673,111,108,106,121,0.0,0.0
447,90877,112,111,100,123,2.2162065711405158e-05,0.0015269663275158155
448,91081,111,108,106,121,0.0,0.0
449,91283,111,108,106,121,0.0,0.0
450,91484,111,112,98,120,2.9549546979978913e-05,0.0020359637869205474
451,91686,111,108,106,120,0.0,0.0
452,91887,111,108,106,120,0.0,0.0
453,92089,108,112,74,111,2.9549546979978913e-05,0.0020359637869205474
454,92292,111,112,98,120,2.9549546979978913e-05,0.0020359637869205474
455,92484,110,111,98,122,2.2162065711405158e-05,0.0015269663275158155
456,92696,110,108,105,120,0.0,0.0
457,92898,110,112,97,118,2.9549546979978913e-05,0.0020359637869205474
458,93102,111,111,99,122,2.2162065711405158e-05,0.0015269663275158155
459,93304,110,107,106,120,-7.3872292079403505e-06,-0.0005089800924270902
460,93508,110,107,106,120,-7.3872292079403505e-06,-0.0005089800924270902
461,93712,110,107,106,120,-7.3872292079403505e-06,-0.0005089800924270902
462,93914,112,111,101,123,2.2162065711405158e-05,0.0015269663275158155
463,94114,110,107,106,119,-7.3872292079403505e-06,-0.0005089800924270902
464,94317,109,112,30,118,2.9549546979978913e-05,0.0020359637869205474
465,94518,110,108,105,120,0.0,0.0
466,94717,112,111,100,122,2.2162065711405158e-05,0.0015269663275158155
467,94920,110,107,105,119,-7.3872292079403505e-06,-0.0005089800924270902
468,95121,107,112,20,0,2.9549546979978913e-05,0.0020359637869205474
469,95322,110,107,105,119,-7.3872292079403505e-06,-0.0005089800924270902
470,95523,110,107,105,119,-7.3872292079403505e-06,-0.0005089800924270902
471,95723,110,107,105,119,-7.3872292079403505e-06,-0.0005089800924270902
472,95926,110,107,105,119,-7.3872292079403505e-06,-0.0005089800924270902
473,96128,112,111,100,122,2.2162065711405158e-05,0.0015269663275158155
474,96329,111,111,98,120,2.2162065711405158e-05,0.0015269663275158155
475,96530,109,107,105,118,-7.3872292079403505e-06,-0.0005089800924270902
476,96732,108,112,67,113,2.9549546979978913e-05,0.0020359637869205474
477,96933,110,107,105,118,-7.3872292079403505e-06,-0.0005089800924270902
478,97135,110,112,97,114,2.9549546979978913e-05,0.0020359637869205474
479,97336,110,107,105,118,-7.3872292079403505e-06,-0.0005089800924270902
480,97537,109,107,105,118,-7.3872292079403505e-06,-0.0005089800924270902
481,97740,109,107,105,118,-7.3872292079403505e-06,-0.0005089800924270902
482,97944,111,111,99,122,2.2162065711405158e-05,0.0015269663275158155
483,98143,110,107,105,119,-7.3872292079403505e-06,-0.0005089800924270902
484,98343,108,112,94,112,2.9549546979978913e-05,0.0020359637869205474
485,98545,110,111,96,120,2.2162065711405158e-05,0.0015269663275158155
486,98746,105,112,0,27,2.9549546979978913e-05,0.0020359637869205474
487,98949,109,107,105,118,-7.3872292079403505e-06,-0.0005089800924270902
488,99147,105,112,0,0,2.9549546979978913e-05,0.0020359637869205474
489,99354,109,107,105,118,-7.3872292079403505e-06,-0.0005089800924270902
490,99556,109,112,93,119,2.9549546979978913e-05,0.0020359637869205474
491,99756,109,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
492,99957,109,107,105,118,-7.3872292079403505e-06,-0.0005089800924270902
493,100158,109,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
494,100357,105,112,0,106,2.9549546979978913e-05,0.0020359637869205474
495,100560,111,111,99,122,2.2162065711405158e-05,0.0015269663275158155
496,100763,110,111,96,121,2.2162065711405158e-05,0.0015269663275158155
497,100963,109,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
498,101161,104,112,0,0,2.9549546979978913e-05,0.0020359637869205474
499,101363,109,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
500,101565,110,111,96,116,2.2162065711405158e-05,0.0015269663275158155
501,101764,111,111,98,120,2.2162065711405158e-05,0.0015269663275158155
502,101964,109,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
503,102167,109,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
504,102370,110,111,98,120,2.2162065711405158e-05,0.0015269663275158155
505,102573,109,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
506,102774,110,111,96,120,2.2162065711405158e-05,0.0015269663275158155
507,102977,108,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
508,103176,108,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
509,103377,109,107,104,117,-7.3872292079403505e-06,-0.0005089800924270902
510,103578,108,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
511,103778,109,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
512,103980,108,107,104,118,-7.3872292079403505e-06,-0.0005089800924270902
513,104180,109,107,104,117,-7.3872292079403505e-06,-0.0005089800924270902
514,104383,107,111,0,111,2.2162065711405158e-05,0.0015269663275158155
515,104584,105,111,0,0,2.2162065711405158e-05,0.0015269663275158155
516,104786,109,112,28,117,2.9549546979978913e-05,0.0020359637869205474
517,104987,109,111,47,119,2.2162065711405158e-05,0.0015269663275158155
518,105186,108,107,104,117,-7.3872292079403505e-06,-0.0005089800924270902
519,105388,108,107,63,116,-7.3872292079403505e-06,-0.0005089800924270902
520,105588,108,107,104,117,-7.3872292079403505e-06,-0.0005089800924270902
521,105790,108,112,0,112,2.9549546979978913e-05,0.0020359637869205474
522,105988,103,111,0,0,2.2162065711405158e-05,0.0015269663275158155
523,106192,108,106,103,117,-1.4774395402910253e-05,-0.0010179558432605164
524,106392,110,111,94,118,2.2162065711405158e-05,0.0015269663275158155
525,106594,108,107,103,116,-7.3872292079403505e-06,-0.0005089800924270902
526,106792,108,107,104,117,-7.3872292079403505e-06,-0.0005089800924270902
527,106995,103,111,0,0,2.2162065711405158e-05,0.0015269663275158155
528,107198,108,106,103,117,-1.4774395402910253e-05,-0.0010179558432605164
529,107399,108,106,103,116,-1.4774395402910253e-05,-0.0010179558432605164
530,107601,110,111,97,120,2.2162065711405158e-05,0.0015269663275158155
531,107806,107,108,100,116,0.0,0.0
532,108009,108,106,103,117,-1.4774395402910253e-05,-0.0010179558432605164
533,108212,108,106,103,117,-1.4774395402910253e-05,-0.0010179558432605164
534,108413,104,111,0,0,2.2162065711405158e-05,0.0015269663275158155
535,108617,109,110,95,119,1.4774647458831252e-05,0.0010179732099134732
536,108816,108,106,103,117,-1.4774395402910253e-05,-0.0010179558432605164
537,109019,104,111,0,0,2.2162065711405158e-05,0.0015269663275158155
538,109223,108,110,0,114,1.4774647458831252e-05,0.0010179732099134732
539,109426,107,106,103,116,-1.4774395402910253e-05,-0.0010179558432605164
540,109627,108,111,23,114,2.2162065711405158e-05,0.0015269663275158155
541,109828,107,106,103,116,-1.4774395402910253e-05,-0.0010179558432605164
542,110031,107,111,83,116,2.2162065711405158e-05,0.0015269663275158155
543,110232,107,106,102,116,-1.4774395402910253e-05,-0.0010179558432605164
544,110433,107,106,103,117,-1.4774395402910253e-05,-0.0010179558432605164
545,110639,102,111,0,0,2.2162065711405158e-05,0.0015269663275158155
546,110839,105,111,23,112,2.2162065711405158e-05,0.0015269663275158155
547,111041,107,106,103,118,-1.4774395402910253e-05,-0.0010179558432605164
548,111243,107,106,103,118,-1.4774395402910253e-05,-0.0010179558432605164
549,111441,107,106,103,118,-1.4774395402910253e-05,-0.0010179558432605164
550,111645,107,106,103,118,-1.4774395402910253e-05,-0.0010179558432605164
551,111843,107,106,103,118,-1.4774395402910253e-05,-0.0010179558432605164
552,112046,108,110,97,123,1.4774647458831252e-05,0.0010179732099134732
553,112244,107,106,103,119,-1.4774395402910253e-05,-0.0010179558432605164
554,112446,108,111,94,120,2.2162065711405158e-05,0.0015269663275158155
555,112646,104,112,0,0,2.9549546979978913e-05,0.0020359637869205474
556,112850,107,106,103,118,-1.4774395402910253e-05,-0.0010179558432605164
557,113054,107,111,87,118,2.2162065711405158e-05,0.0015269663275158155
558,113254,106,106,103,118,-1.4774395402910253e-05,-0.0010179558432605164
559,113455,108,110,95,121,1.4774647458831252e-05,0.0010179732099134732
560,113656,109,110,97,121,1.4774647458831252e-05,0.0010179732099134732
561,113860,107,105,102,118,-2.216149858591951e-05,-0.0015269272525698543
562,114058,102,110,0,0,1.4774647458831252e-05,0.0010179732099134732
563,114258,107,106,102,119,-1.4774395402910253e-05,-0.0010179558432605164
564,114462,107,105,102,119,-2.216149858591951e-05,-0.0015269272525698543
565,114664,107,106,101,118,-1.4774395402910253e-05,-0.0010179558432605164
566,114868,106,105,102,119,-2.216149858591951e-05,-0.0015269272525698543
567,115067,106,105,102,119,-2.216149858591951e-05,-0.0015269272525698543
568,115270,108,110,93,123,1.4774647458831252e-05,0.0010179732099134732
569,115472,106,105,102,117,-2.216149858591951e-05,-0.0015269272525698543
570,115674,105,111,93,114,2.2162065711405158e-05,0.0015269663275158155
571,115874,106,105,102,118,-2.216149858591951e-05,-0.0015269272525698543
572,116078,106,105,102,118,-2.216149858591951e-05,-0.0015269272525698543
573,116278,107,105,102,118,-2.216149858591951e-05,-0.0015269272525698543
574,116481,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
575,116683,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
576,116884,106,110,94,114,1.4774647458831252e-05,0.0010179732099134732
577,117085,108,110,95,120,1.4774647458831252e-05,0.0010179732099134732
578,117288,104,109,25,114,7.387292222257201e-06,0.0005089844341135211
579,117492,106,105,102,117,-2.216149858591951e-05,-0.0015269272525698543
580,117693,101,110,0,0,1.4774647458831252e-05,0.0010179732099134732
581,117897,105,105,102,118,-2.216149858591951e-05,-0.0015269272525698543
582,118096,105,105,102,118,-2.216149858591951e-05,-0.0015269272525698543
583,118299,106,110,94,118,1.4774647458831252e-05,0.0010179732099134732
584,118500,102,110,0,0,1.4774647458831252e-05,0.0010179732099134732
585,118700,108,110,96,119,1.4774647458831252e-05,0.0010179732099134732
586,118902,106,107,32,18,-7.3872292079403505e-06,-0.0005089800924270902
587,119104,106,105,102,117,-2.216149858591951e-05,-0.0015269272525698543
588,119305,106,110,92,112,1.4774647458831252e-05,0.0010179732099134732
589,119505,106,105,101,117,-2.216149858591951e-05,-0.0015269272525698543
590,119706,106,105,102,117,-2.216149858591951e-05,-0.0015269272525698543
591,119905,103,111,46,0,2.2162065711405158e-05,0.0015269663275158155
592,120111,106,106,102,117,-1.4774395402910253e-05,-0.0010179558432605164
593,120312,106,110,94,113,1.4774647458831252e-05,0.0010179732099134732
594,120513,105,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
595,120714,106,105,102,119,-2.216149858591951e-05,-0.0015269272525698543
596,120916,105,105,102,118,-2.216149858591951e-05,-0.0015269272525698543
597,121116,107,111,95,111,2.2162065711405158e-05,0.0015269663275158155
598,121319,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
599,121519,105,106,102,119,-1.4774395402910253e-05,-0.0010179558432605164
600,121722,102,109,0,108,7.387292222257201e-06,0.0005089844341135211
601,121923,105,109,0,114,7.387292222257201e-06,0.0005089844341135211
602,122123,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
603,122322,109,112,98,119,2.9549546979978913e-05,0.0020359637869205474
604,122526,106,109,3,114,7.387292222257201e-06,0.0005089844341135211
605,122728,107,108,100,118,0.0,0.0
606,122927,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
607,123131,106,105,101,119,-2.216149858591951e-05,-0.0015269272525698543
608,123331,104,110,9,0,1.4774647458831252e-05,0.0010179732099134732
609,123532,108,110,85,119,1.4774647458831252e-05,0.0010179732099134732
610,123734,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
611,123939,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
612,124139,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
613,124340,105,110,92,0,1.4774647458831252e-05,0.0010179732099134732
614,124546,106,105,101,119,-2.216149858591951e-05,-0.0015269272525698543
615,124748,99,110,0,0,1.4774647458831252e-05,0.0010179732099134732
616,124947,109,110,94,118,1.4774647458831252e-05,0.0010179732099134732
617,125153,106,110,97,118,1.4774647458831252e-05,0.0010179732099134732
618,125357,105,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
619,125557,103,110,0,0,1.4774647458831252e-05,0.0010179732099134732
620,125755,106,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
621,125957,105,110,54,27,1.4774647458831252e-05,0.0010179732099134732
622,126158,105,104,101,117,-2.954853875730472e-05,-0.0020358943203782954
623,126359,101,109,0,0,7.387292222257201e-06,0.0005089844341135211
624,126559,106,110,0,115,1.4774647458831252e-05,0.0010179732099134732
625,126761,107,109,85,118,7.387292222257201e-06,0.0005089844341135211
626,126964,105,104,101,118,-2.954853875730472e-05,-0.0020358943203782954
627,127166,106,104,101,119,-2.954853875730472e-05,-0.0020358943203782954
628,127371,107,110,95,114,1.4774647458831252e-05,0.0010179732099134732
629,127570,105,105,101,118,-2.216149858591951e-05,-0.0015269272525698543
630,127772,106,104,101,118,-2.954853875730472e-05,-0.0020358943203782954
631,127973,105,105,101,119,-2.216149858591951e-05,-0.0015269272525698543
632,128175,111,100,90,83,-5.909606934410833e-05,-0.004071719177809064
633,128371,116,103,0,78,-3.693551591807569e-05,-0.0025448570467554153
634,128575,115,99,95,64,-6.648279446982754e-05,-0.004580664538971118
635,128777,115,99,95,53,-6.648279446982754e-05,-0.004580664538971118
636,128977,114,99,95,48,-6.648279446982754e-05,-0.004580664538971118
637,129176,112,98,0,44,-7.38694565893083e-05,-0.0050896055590033415
638,129376,113,99,95,39,-6.648279446982754e-05,-0.004580664538971118
639,129575,112,99,74,33,-6.648279446982754e-05,-0.004580664538971118
640,129776,113,99,95,31,-6.648279446982754e-05,-0.004580664538971118
641,129976,112,98,0,29,-7.38694565893083e-05,-0.0050896055590033415
642,130179,113,99,95,24,-6.648279446982754e-05,-0.004580664538971118
643,130378,112,99,95,19,-6.648279446982754e-05,-0.004580664538971118
644,130580,112,99,95,18,-6.648279446982754e-05,-0.004580664538971118
645,130784,113,99,95,15,-6.648279446982754e-05,-0.004580664538971118
646,130988,115,99,95,15,-6.648279446982754e-05,-0.004580664538971118
647,131186,115,99,95,11,-6.648279446982754e-05,-0.004580664538971118
648,131388,116,99,95,9,-6.648279446982754e-05,-0.004580664538971118
649,131590,117,98,0,10,-7.38694565893083e-05,-0.0050896055590033415
650,131792,119,99,95,8,-6.648279446982754e-05,-0.004580664538971118
651,131993,119,98,0,5,-7.38694565893083e-05,-0.0050896055590033415
652,132193,123,99,95,5,-6.648279446982754e-05,-0.004580664538971118
653,132393,126,99,95,3,-6.648279446982754e-05,-0.004580664538971118
654,132598,130,99,95,4,-6.648279446982754e-05,-0.004580664538971118
655,132797,130,98,0,3,-7.38694565893083e-05,-0.0050896055590033415
656,133000,133,99,95,1,-6.648279446982754e-05,-0.004580664538971118
657,133200,133,98,0,4,-7.38694565893083e-05,-0.0050896055590033415
658,133401,135,98,0,255,-7.38694565893083e-05,-0.0050896055590033415
659,133601,137,99,95,0,-6.648279446982754e-05,-0.004580664538971118
660,133799,138,99,95,255,-6.648279446982754e-05,-0.004580664538971118
661,134001,140,99,95,0,-6.648279446982754e-05,-0.004580664538971118
662,134204,142,99,95,0,-6.648279446982754e-05,-0.004580664538971118
663,134404,142,99,0,0,-6.648279446982754e-05,-0.004580664538971118
664,134605,144,98,0,0,-7.38694565893083e-05,-0.0050896055590033415
665,134808,146,98,0,1,-7.38694565893083e-05,-0.0050896055590033415
666,135010,148,99,95,2,-6.648279446982754e-05,-0.004580664538971118
667,135213,148,99,95,4,-6.648279446982754e-05,-0.004580664538971118
668,135415,148,99,95,2,-6.648279446982754e-05,-0.004580664538971118
669,135617,146,99,96,7,-6.648279446982754e-05,-0.004580664538971118
670,135819,145,98,0,5,-7.38694565893083e-05,-0.0050896055590033415
671,136020,145,99,96,10,-6.648279446982754e-05,-0.004580664538971118
672,136222,145,99,95,10,-6.648279446982754e-05,-0.004580664538971118
673,136423,144,99,0,17,-6.648279446982754e-05,-0.004580664538971118
674,136623,145,99,96,18,-6.648279446982754e-05,-0.004580664538971118
675,136826,145,99,96,20,-6.648279446982754e-05,-0.004580664538971118
676,137026,144,99,96,21,-6.648279446982754e-05,-0.004580664538971118
677,137226,144,99,96,25,-6.648279446982754e-05,-0.004580664538971118
678,137426,143,99,0,25,-6.648279446982754e-05,-0.004580664538971118
679,137630,145,99,95,30,-6.648279446982754e-05,-0.004580664538971118
680,137827,143,98,0,31,-7.38694565893083e-05,-0.0050896055590033415
681,138031,143,99,96,37,-6.648279446982754e-05,-0.004580664538971118
682,138232,144,99,96,41,-6.648279446982754e-05,-0.004580664538971118
683,138435,144,99,96,47,-6.648279446982754e-05,-0.004580664538971118
684,138636,144,98,0,53,-7.38694565893083e-05,-0.0050896055590033415
685,138836,146,99,96,56,-6.648279446982754e-05,-0.004580664538971118
686,139038,145,98,0,56,-7.38694565893083e-05,-0.0050896055590033415
687,139240,145,100,96,58,-5.909606934410833e-05,-0.004071719177809064
688,139439,144,98,0,58,-7.38694565893083e-05,-0.0050896055590033415
689,139642,144,99,96,60,-6.648279446982754e-05,-0.004580664538971118
690,139844,144,99,96,60,-6.648279446982754e-05,-0.004580664538971118
691,140044,143,99,96,59,-6.648279446982754e-05,-0.004580664538971118
692,140244,143,98,0,59,-7.38694565893083e-05,-0.0050896055590033415
693,140446,143,99,96,59,-6.648279446982754e-05,-0.004580664538971118
694,140646,142,98,0,57,-7.38694565893083e-05,-0.0050896055590033415
695,140847,142,99,96,59,-6.648279446982754e-05,-0.004580664538971118
696,141052,142,98,0,60,-7.38694565893083e-05,-0.0050896055590033415
697,141253,144,99,96,63,-6.648279446982754e-05,-0.004580664538971118
698,141455,144,99,96,65,-6.648279446982754e-05,-0.004580664538971118
699,141655,143,98,0,64,-7.38694565893083e-05,-0.0050896055590033415
700,141857,142,99,96,67,-6.648279446982754e-05,-0.004580664538971118
701,142057,142,99,96,65,-6.648279446982754e-05,-0.004580664538971118
702,142257,142,99,96,68,-6.648279446982754e-05,-0.004580664538971118
703,142458,142,99,96,67,-6.648279446982754e-05,-0.004580664538971118
704,142660,139,99,0,67,-6.648279446982754e-05,-0.004580664538971118
705,142863,140,99,96,66,-6.648279446982754e-05,-0.004580664538971118
706,143063,139,99,96,66,-6.648279446982754e-05,-0.004580664538971118
707,143266,139,99,96,64,-6.648279446982754e-05,-0.004580664538971118
708,143466,138,98,0,64,-7.38694565893083e-05,-0.0050896055590033415
709,143668,138,99,96,59,-6.648279446982754e-05,-0.004580664538971118
710,143870,137,98,0,59,-7.38694565893083e-05,-0.0050896055590033415
711,144074,138,99,96,60,-6.648279446982754e-05,-0.004580664538971118
712,144275,136,98,0,60,-7.38694565893083e-05,-0.0050896055590033415
713,144475,137,99,96,60,-6.648279446982754e-05,-0.004580664538971118
714,144678,137,99,96,60,-6.648279446982754e-05,-0.004580664538971118
715,144879,137,99,96,59,-6.648279446982754e-05,-0.004580664538971118
716,145082,138,100,96,60,-5.909606934410833e-05,-0.004071719177809064
717,145285,139,99,96,56,-6.648279446982754e-05,-0.004580664538971118
718,145485,139,98,0,56,-7.38694565893083e-05,-0.0050896055590033415
719,145686,139,98,0,57,-7.38694565893083e-05,-0.0050896055590033415
720,145887,138,99,0,57,-6.648279446982754e-05,-0.004580664538971118
721,146088,138,100,96,53,-5.909606934410833e-05,-0.004071719177809064
722,146289,137,100,96,55,-5.909606934410833e-05,-0.004071719177809064
723,146491,137,98,0,54,-7.38694565893083e-05,-0.0050896055590033415
724,146691,138,100,96,54,-5.909606934410833e-05,-0.004071719177809064
725,146893,138,100,96,50,-5.909606934410833e-05,-0.004071719177809064
726,147096,138,100,96,53,-5.909606934410833e-05,-0.004071719177809064
727,147297,138,99,0,50,-6.648279446982754e-05,-0.004580664538971118
728,147496,137,99,0,52,-6.648279446982754e-05,-0.004580664538971118
729,147700,139,100,96,53,-5.909606934410833e-05,-0.004071719177809064
730,147902,139,100,96,52,-5.909606934410833e-05,-0.004071719177809064
731,148103,140,100,96,51,-5.909606934410833e-05,-0.004071719177809064
732,148304,142,100,96,51,-5.909606934410833e-05,-0.004071719177809064
733,148503,142,99,0,48,-6.648279446982754e-05,-0.004580664538971118
734,148704,145,99,0,49,-6.648279446982754e-05,-0.004580664538971118
735,148904,147,100,96,49,-5.909606934410833e-05,-0.004071719177809064
736,149105,147,98,0,51,-7.38694565893083e-05,-0.0050896055590033415
737,149307,148,100,96,51,-5.909606934410833e-05,-0.004071719177809064
738,149508,148,100,96,51,-5.909606934410833e-05,-0.004071719177809064
739,149709,148,100,96,50,-5.909606934410833e-05,-0.004071719177809064
740,149912,148,100,96,48,-5.909606934410833e-05,-0.004071719177809064
741,150114,148,100,96,50,-5.909606934410833e-05,-0.004071719177809064
742,150315,148,99,0,48,-6.648279446982754e-05,-0.004580664538971118
743,150517,148,98,0,48,-7.38694565893083e-05,-0.0050896055590033415
744,150719,148,99,0,48,-6.648279446982754e-05,-0.004580664538971118
745,150922,149,100,96,50,-5.909606934410833e-05,-0.004071719177809064
746,151123,150,100,96,50,-5.909606934410833e-05,-0.004071719177809064
747,151326,151,100,96,49,-5.909606934410833e-05,-0.004071719177809064
748,151526,153,100,96,50,-5.909606934410833e-05,-0.004071719177809064
749,151727,154,100,96,50,-5.909606934410833e-05,-0.004071719177809064
750,151928,155,98,4,45,-7.38694565893083e-05,-0.0050896055590033415
751,152129,157,100,96,50,-5.909606934410833e-05,-0.004071719177809064
752,152329,157,99,0,51,-6.648279446982754e-05,-0.004580664538971118
753,152530,159,100,96,52,-5.909606934410833e-05,-0.004071719177809064
754,152737,159,98,0,50,-7.38694565893083e-05,-0.0050896055590033415
755,152938,159,100,96,50,-5.909606934410833e-05,-0.004071719177809064
756,153140,159,98,0,53,-7.38694565893083e-05,-0.0050896055590033415
757,153341,159,99,13,49,-6.648279446982754e-05,-0.004580664538971118
758,153543,159,100,96,52,-5.909606934410833e-05,-0.004071719177809064
759,153745,159,100,96,51,-5.909606934410833e-05,-0.004071719177809064
760,153946,158,99,0,52,-6.648279446982754e-05,-0.004580664538971118
761,154149,160,100,96,52,-5.909606934410833e-05,-0.004071719177809064
762,154351,161,100,97,52,-5.909606934410833e-05,-0.004071719177809064
763,154554,163,100,96,53,-5.909606934410833e-05,-0.004071719177809064
764,154754,165,100,96,52,-5.909606934410833e-05,-0.004071719177809064
765,154956,166,100,97,48,-5.909606934410833e-05,-0.004071719177809064
766,155159,166,99,0,51,-6.648279446982754e-05,-0.004580664538971118
767,155361,167,99,0,54,-6.648279446982754e-05,-0.004580664538971118
768,155559,168,99,0,56,-6.648279446982754e-05,-0.004580664538971118
769,155764,171,100,96,58,-5.909606934410833e-05,-0.004071719177809064
770,155966,171,100,97,60,-5.909606934410833e-05,-0.004071719177809064
771,156169,173,100,97,61,-5.909606934410833e-05,-0.004071719177809064
772,156370,173,98,0,62,-7.38694565893083e-05,-0.0050896055590033415
773,156573,172,99,72,58,-6.648279446982754e-05,-0.004580664538971118
774,156775,174,100,97,66,-5.909606934410833e-05,-0.004071719177809064
775,156975,175,100,97,66,-5.909606934410833e-05,-0.004071719177809064
776,157177,174,98,0,69,-7.38694565893083e-05,-0.0050896055590033415
777,157380,175,100,97,75,-5.909606934410833e-05,-0.004071719177809064
778,157582,175,98,0,74,-7.38694565893083e-05,-0.0050896055590033415
779,157785,174,98,0,78,-7.38694565893083e-05,-0.0050896055590033415
780,157987,175,98,0,81,-7.38694565893083e-05,-0.0050896055590033415
781,158189,176,100,97,88,-5.909606934410833e-05,-0.004071719177809064
782,158389,175,98,0,89,-7.38694565893083e-05,-0.0050896055590033415
783,158589,174,98,0,92,-7.38694565893083e-05,-0.0050896055590033415
784,158793,175,100,88,94,-5.909606934410833e-05,-0.004071719177809064
785,158994,175,100,97,101,-5.909606934410833e-05,-0.004071719177809064
786,159194,176,100,97,104,-5.909606934410833e-05,-0.004071719177809064
787,159398,176,100,97,108,-5.909606934410833e-05,-0.004071719177809064
788,159601,177,100,97,110,-5.909606934410833e-05,-0.004071719177809064
789,159805,178,100,97,113,-5.909606934410833e-05,-0.004071719177809064
790,160004,179,100,97,119,-5.909606934410833e-05,-0.004071719177809064
791,160207,180,98,0,120,-7.38694565893083e-05,-0.0050896055590033415
792,160409,180,99,0,125,-6.648279446982754e-05,-0.004580664538971118
793,160612,181,100,97,128,-5.909606934410833e-05,-0.004071719177809064
794,160813,182,100,97,136,-5.909606934410833e-05,-0.004071719177809064
795,161014,183,100,97,139,-5.909606934410833e-05,-0.004071719177809064
796,161214,183,100,97,141,-5.909606934410833e-05,-0.004071719177809064
797,161417,183,100,97,141,-5.909606934410833e-05,-0.004071719177809064
798,161616,184,100,97,148,-5.909606934410833e-05,-0.004071719177809064
799,161817,184,98,0,148,-7.38694565893083e-05,-0.0050896055590033415
800,162020,185,98,0,154,-7.38694565893083e-05,-0.0050896055590033415
801,162223,186,100,97,160,-5.909606934410833e-05,-0.004071719177809064
802,162424,187,101,97,165,-5.170928121046769e-05,-0.003562769475401224
803,162624,188,100,97,169,-5.909606934410833e-05,-0.004071719177809064
804,162825,187,100,97,173,-5.909606934410833e-05,-0.004071719177809064
805,163027,188,100,97,178,-5.909606934410833e-05,-0.004071719177809064
806,163230,187,99,0,176,-6.648279446982754e-05,-0.004580664538971118
807,163432,190,100,97,176,-5.909606934410833e-05,-0.004071719177809064
808,163632,190,98,0,177,-7.38694565893083e-05,-0.0050896055590033415
809,163833,191,100,97,177,-5.909606934410833e-05,-0.004071719177809064
810,164029,192,100,97,176,-5.909606934410833e-05,-0.004071719177809064
811,164235,191,98,0,174,-7.38694565893083e-05,-0.0050896055590033415
812,164436,192,100,97,176,-5.909606934410833e-05,-0.004071719177809064
813,164640,194,100,97,175,-5.909606934410833e-05,-0.004071719177809064
814,164841,195,100,97,174,-5.909606934410833e-05,-0.004071719177809064
815,165045,196,98,0,172,-7.38694565893083e-05,-0.0050896055590033415
816,165243,195,99,0,174,-6.648279446982754e-05,-0.004580664538971118
817,165445,196,100,97,174,-5.909606934410833e-05,-0.004071719177809064
818,165644,196,100,97,174,-5.909606934410833e-05,-0.004071719177809064
819,165842,197,100,97,173,-5.909606934410833e-05,-0.004071719177809064
820,166047,197,98,0,173,-7.38694565893083e-05,-0.0050896055590033415
821,166248,198,100,97,169,-5.909606934410833e-05,-0.004071719177809064
822,166450,198,100,97,173,-5.909606934410833e-05,-0.004071719177809064
823,166653,199,100,97,172,-5.909606934410833e-05,-0.004071719177809064
824,166857,198,98,0,172,-7.38694565893083e-05,-0.0050896055590033415
825,167059,199,100,97,173,-5.909606934410833e-05,-0.004071719177809064
826,167259,200,100,97,174,-5.909606934410833e-05,-0.004071719177809064
827,167457,200,100,97,172,-5.909606934410833e-05,-0.004071719177809064
828,167661,201,100,97,172,-5.909606934410833e-05,-0.004071719177809064
829,167863,201,100,97,168,-5.909606934410833e-05,-0.004071719177809064
830,168061,202,100,97,171,-5.909606934410833e-05,-0.004071719177809064
831,168267,202,98,0,169,-7.38694565893083e-05,-0.0050896055590033415
832,168469,202,98,0,169,-7.38694565893083e-05,-0.0050896055590033415
