time,ax,ay,az,aT
25.373,0.0072,0.103,0.4803,0.491
25.408,0.0378,0.9084,0.1511,0.922
25.408,0.4457,0.6488,0.4216,0.893
25.409,0.1066,-0.4103,-0.0273,0.425
25.418,-0.2412,-0.5408,-0.6617,0.888
25.421,0.5009,0.3904,-0.3936,0.747
25.432,0.4557,0.8307,0.2816,0.988
25.441,0.2269,0.5765,0.6192,0.876
25.452,-0.1869,-0.3908,-0.9921,1.083
25.46,-0.3811,-0.7962,-1.1501,1.45
25.473,-0.307,-0.22,0.466,0.6
25.505,0.7866,0.2442,1.7217,1.909
25.506,-0.3891,0.2995,-0.2942,0.572
25.506,-0.6227,-0.6729,-0.8114,1.224
25.516,-0.7798,-1.1555,-0.8425,1.629
25.52,-0.3032,0.1311,-0.3576,0.487
25.532,0.4404,-0.2077,1.5302,1.606
25.54,0.4672,0.7912,-0.3684,0.99
25.552,0.2172,-0.0119,0.0338,0.22
25.56,-0.3248,-0.7728,-1.0137,1.315
25.572,-0.1051,-0.4424,0.7987,0.919
25.639,0.2062,0.2875,0.6431,0.734
25.644,-0.0477,0.1234,-0.2045,0.244
25.647,-0.2254,-0.7601,-0.2679,0.837
25.65,-0.2748,-0.6668,0.0696,0.725
25.652,-0.119,0.1289,-0.3111,0.357
25.654,-0.1213,0.6296,0.1881,0.668
25.655,0.7587,0.3958,-0.0765,0.859
25.657,0.2051,-0.021,1.0823,1.102
25.662,-0.8159,-0.1025,-2.7879,2.907
25.68,-0.9321,-0.4161,-1.7847,2.056
25.776,-0.4506,0.4127,-0.5409,0.816
25.779,0.4056,0.5154,0.1128,0.665
25.782,-0.7844,-0.1167,-0.9574,1.243
25.786,-0.715,-0.5487,-1.3451,1.619
25.788,-0.6199,-0.4782,-0.5848,0.977
25.79,0.3827,0.7383,0.3204,0.891
25.791,0.2804,-0.493,1.2303,1.355
25.793,-0.1985,-0.5706,-0.885,1.072
25.794,-0.5161,-0.7052,-0.7198,1.132
25.796,-0.5216,-0.2149,-0.4731,0.736
25.798,0.3016,0.5275,0.1196,0.619
25.799,0.6451,0.1994,0.2286,0.713
25.805,-0.1236,-0.309,-0.4059,0.525
25.814,-0.4578,-0.7711,-0.4992,1.026
25.827,-0.081,0.1027,-0.5112,0.528
25.93,0.2576,0.7944,-0.0072,0.835
25.932,0.202,0.2006,0.7674,0.818
25.933,-0.4495,-0.496,-0.2059,0.7
25.934,-0.0485,-0.864,0.2694,0.906
25.935,-0.0256,-0.542,-1.045,1.178
25.937,0.2082,0.5803,-0.486,0.785
25.94,0.0649,0.4764,-0.164,0.508
25.942,0.0553,-0.1113,0.0791,0.147
25.944,0.4683,-0.5397,0.7422,1.03
25.944,-0.2932,-0.5762,-1.3551,1.501
25.947,-0.2905,-0.5728,-1.3551,1.5
25.949,0.6854,0.6821,-0.4489,1.066
25.954,1.3236,0.4785,0.2813,1.435
25.962,0.43,0.1356,0.6546,0.795
25.977,0.0422,0.9441,-0.9054,1.309
25.991,0.2091,0.3122,-0.2267,0.439
26.053,0.5049,0.0586,0.0821,0.515
26.054,0.8916,-0.1563,-0.0425,0.906
26.055,-0.3287,-0.6592,-0.6221,0.964
26.055,0.565,0.4835,-0.2582,0.787
26.056,0.5874,1.0632,0.1427,1.223
26.056,0.4503,0.1122,-0.3996,0.612
26.057,-0.5703,-0.7012,-0.3219,0.959
26.062,-0.4636,-0.8207,-0.8295,1.256
26.141,0.3447,0.0075,0.613,0.703
26.144,-0.6595,-0.0788,-0.5482,0.861
26.146,-0.0812,0.3985,-0.419,0.584
26.149,0.0459,0.5539,0.0778,0.561
26.152,0.1956,-0.519,1.4928,1.593
26.154,0.4969,0.6377,0.5124,0.957
26.156,0.5997,0.9089,0.8212,1.364
26.158,0.0853,0.1475,0.2933,0.339
26.159,0.2747,-0.1894,-0.4452,0.556
26.175,0.3411,-0.5834,0.3161,0.746
26.178,0.2421,0.3427,0.4705,0.63
26.182,0.759,0.7646,0.3963,1.148
26.249,0.2728,0.6632,0.2849,0.772
26.251,0.4252,0.2441,-0.0382,0.492
26.253,-0.1762,-0.6734,0.6609,0.96
26.255,-0.1544,0.056,-0.5685,0.592
26.257,0.5005,0.6459,0.3653,0.895
26.258,0.2978,0.4366,-0.4344,0.684
26.261,-0.393,-0.864,-0.0429,0.95
26.263,-0.8044,-0.782,-0.8832,1.428
26.275,-0.211,-0.1698,-0.7803,0.826
26.362,0.5513,0.5202,-0.1051,0.765
26.363,0.0541,0.4772,0.1834,0.514
26.363,-0.5546,-0.6193,0.2899,0.88
26.364,-0.5119,-0.5014,-0.1003,0.724
26.365,-0.2689,-0.5807,1.8629,1.97
26.365,0.521,0.306,-0.2716,0.662
26.366,0.204,0.1822,0.1306,0.303
26.367,-0.3084,-0.8446,-0.2561,0.935
26.367,-0.3759,-0.2371,-0.8008,0.916
26.445,-0.5318,-0.1723,-0.6368,0.847
26.449,-0.1366,-0.0393,1.5119,1.519
26.45,0.1168,0.2052,-2.0662,2.08
26.452,-1.2058,-0.8643,-0.4178,1.541
26.456,-0.7731,-0.5761,-0.6094,1.141
26.458,-0.4675,0.0647,0.0897,0.48
26.459,0.1707,0.4117,-0.0216,0.446
26.46,-0.5115,-0.3159,0.2119,0.637
26.462,0.7276,0.0828,0.2407,0.771
26.463,-0.3729,-0.3863,0.4573,0.705
26.478,0.2819,0.1712,-0.3662,0.493
26.562,0.5012,0.2877,0.2682,0.637
26.565,0.2485,-0.2459,-0.3926,0.526
26.568,0.0839,-0.3707,-0.8116,0.896
26.57,-0.7799,-1.0979,-0.3364,1.388
26.572,-0.5694,-0.2568,-0.82,1.031
26.574,0.704,0.3571,0.8595,1.167
26.575,0.1453,-0.138,0.1592,0.256
26.577,-0.149,-0.3811,-1.0679,1.144
26.578,-1.1529,-1.045,-0.564,1.655
26.579,-0.7746,-0.288,-0.8632,1.195
26.645,0.5341,0.694,-0.0467,0.877
26.649,0.3512,0.0664,1.1756,1.229
26.651,-0.0836,-0.2195,-1.3431,1.364
26.657,-0.0726,-0.4908,-0.7925,0.935
26.659,-0.3785,-1.0924,-0.5805,1.294
26.66,0.2323,0.6433,0.0803,0.689
26.663,0.1374,-0.0367,-0.1041,0.176
26.664,-0.8612,-0.5138,-1.0354,1.441
26.666,-0.7346,-0.8557,-0.5984,1.277
26.681,-0.1615,0.3675,-0.6163,0.735
26.684,0.6658,0.7463,0.2984,1.044
26.758,0.1826,0.3034,0.4349,0.561
26.76,0.0694,0.3426,-0.002,0.35
26.762,0.4396,0.053,0.6708,0.804
26.763,0.2988,0.7799,-0.2319,0.867
26.763,0.0682,0.6707,0.1236,0.685
26.764,0.5462,0.5724,-1.01,1.283
26.766,0.5058,-0.3437,1.2848,1.423
26.768,-0.5995,0.0524,-1.7093,1.812
26.778,-0.3859,0.4275,-1.0401,1.189
26.782,-0.2234,0.7748,-0.4654,0.931
26.861,-0.2855,-0.3897,-0.5276,0.715
26.862,-0.0348,-0.93,0.8874,1.286
26.863,0.0429,0.1681,-2.2012,2.208
26.864,-0.4533,-0.0527,-0.6629,0.805
26.866,-0.1575,0.395,-1.0064,1.093
26.868,0.3734,0.5071,-0.1121,0.64
26.869,-0.3609,-0.7149,0.0699,0.804
26.87,0.3769,0.0526,-1.3666,1.419
26.957,-0.0587,0.2119,-0.7979,0.828
26.963,0.3232,0.5867,-0.3275,0.746
26.971,0.5057,0.2986,0.2603,0.642
26.974,-0.1062,-0.1473,-0.0294,0.184
26.978,0.0399,-0.227,0.1442,0.272
26.98,0.1791,0.542,0.0137,0.571
26.982,0.2458,0.8162,0.1561,0.867
26.985,0.357,0.7781,0.1394,0.867
26.987,1.0794,0.2087,-0.3802,1.163
26.989,0.5302,-0.4257,1.4777,1.627
26.99,0.0768,0.9043,-1.0267,1.37
27.004,0.0013,0.765,-0.1828,0.787
27.006,0.0526,0.2543,-0.2162,0.338
27.01,-0.0991,-0.4835,-0.5214,0.718
27.026,0.1266,-0.9525,1.4371,1.729
27.026,0.1587,0.2327,-1.2121,1.244
27.104,0.509,0.72,0.1418,0.893
27.105,0.1546,0.0315,-0.1204,0.198
27.105,0.1514,0.0285,-0.1204,0.195
27.106,-0.5097,-0.5855,-0.5274,0.938
27.106,0.3862,0.1668,-0.6639,0.786
27.107,0.3281,0.8265,0.4434,0.994
27.108,0.3934,-0.0161,0.6864,0.791
27.108,-0.7385,-0.5563,-0.6077,1.106
27.114,-0.2892,-0.2917,-0.4737,0.627
27.209,0.6365,0.1715,-0.2223,0.696
27.212,0.4102,0.4953,1.3974,1.538
27.215,0.0332,0.5616,-1.3464,1.459
27.218,-0.4897,-0.893,-0.2522,1.049
27.221,-0.478,-0.6962,-0.8137,1.173
27.224,0.7167,0.2784,0.12,0.778
27.231,-0.1548,0.25,1.1435,1.181
27.234,-0.0662,-0.2173,-0.463,0.516
27.237,-0.0002,-0.4214,-0.4773,0.637
27.239,0.0303,-0.6277,-0.123,0.64
27.241,0.3243,-0.6707,1.7265,1.88
27.243,-0.1914,0.2219,-1.3921,1.423
27.245,-0.1951,-0.3718,0.6991,0.816
27.258,0.1377,-0.5583,-0.6763,0.888
27.262,-0.1603,-0.6502,0.3148,0.74
27.348,-0.0977,0.0518,-0.0875,0.141
27.35,0.6497,0.8569,0.3242,1.123
27.35,0.4124,0.1456,0.5863,0.732
27.351,-0.141,-0.506,0.1937,0.56
27.352,-0.596,-0.598,-0.7712,1.144
27.352,0.2413,0.4267,-0.6599,0.822
27.353,0.5088,0.3138,-0.0865,0.604
27.354,0.0908,0.0818,0.5527,0.566
27.354,-0.8324,-0.6747,-0.8611,1.375
27.437,-0.622,-1.2247,-1.1915,1.818
27.439,-0.6178,-1.2167,-1.1915,1.812
27.442,0.1864,0.2454,0.2881,0.422
27.445,0.1737,-0.5782,1.0123,1.179
27.447,0.0166,-0.4844,-1.2825,1.371
27.449,-0.8443,-0.9568,-1.1568,1.722
27.452,-0.1442,0.3551,-0.4278,0.574
27.454,1.0292,0.4574,0.6711,1.311
27.458,0.2589,0.6454,0.4484,0.827
27.46,0.4111,0.0998,0.4664,0.63
27.523,-0.693,-0.5727,-0.5045,1.031
27.525,0.3205,0.3172,0.8171,0.933
27.527,0.5779,0.9819,0.8147,1.401
27.528,0.2062,-0.0479,0.3993,0.452
27.529,-0.1029,-0.3467,0.1575,0.394
27.53,-0.1866,-0.1338,0.1683,0.285
27.531,-0.5051,-0.0378,-0.283,0.58
27.534,0.0131,0.6324,-0.0436,0.634
27.618,-0.1411,-0.1053,0.0522,0.184
27.622,0.3743,-0.4415,0.0869,0.585
27.624,-0.5513,-0.3719,-1.9793,2.088
27.633,-0.9021,0.0278,-1.0683,1.399
27.641,0.0195,0.813,-0.502,0.956
27.644,0.6024,0.6136,0.7765,1.159
27.645,-0.2486,-0.7625,0.6544,1.035
27.646,-0.2346,-0.484,-0.3284,0.63
27.648,-0.4997,-0.2655,-0.5043,0.758
27.649,0.4249,0.2464,0.3756,0.618
27.652,0.9936,0.4296,0.1876,1.099
27.654,-0.1512,-0.6951,0.3133,0.777
27.666,-0.1359,-0.3194,-0.6803,0.764
27.744,-0.343,0.2685,-0.5223,0.68
27.745,-0.2238,0.3385,0.287,0.497
27.745,0.2167,-0.0517,0.5982,0.638
27.746,-0.6412,-0.6024,-0.7737,1.172
27.746,-0.5451,-0.6295,-1.1029,1.382
27.746,-0.0089,0.115,-0.6731,0.683
27.747,0.0623,0.5777,0.4115,0.712
27.747,0.048,0.1267,0.2236,0.261
27.833,-0.5986,-0.5727,-0.12,0.837
27.843,0.4403,-0.5638,-0.072,0.719
27.845,-0.3807,-0.2603,-0.5856,0.745
27.847,0.2755,1.0004,0.1387,1.047
27.849,0.0212,0.1921,0.086,0.212
27.852,0.2803,-0.1592,1.513,1.547
27.854,0.3221,-0.1881,-0.7029,0.796
27.858,0.01,-0.1256,-0.4623,0.479
27.86,-0.0997,0.4304,-0.3785,0.582
27.862,0.4543,0.2156,-0.6694,0.837
27.865,0.3101,0.051,-0.6526,0.724
27.868,0.3779,0.223,1.2268,1.303
27.914,-0.0215,0.8129,-1.0909,1.361
27.916,-0.2342,0.2645,-0.1847,0.399
27.918,-0.2095,0.1518,-1.1064,1.136
27.919,-0.1794,-0.6965,-0.3821,0.814
27.922,-0.3971,-0.5033,-1.2033,1.363
27.924,-0.2029,0.1392,-1.2584,1.282
27.936,0.4066,0.9528,-0.7149,1.259
27.945,0.1388,0.1273,-0.6323,0.66
28.02,0.0486,-0.2204,-0.1414,0.266
28.021,-0.4879,-0.6932,-0.6514,1.069
28.022,-0.1457,-0.3263,-0.5795,0.681
28.032,0.392,0.4078,-0.139,0.583
28.036,-0.076,-0.1763,0.2656,0.328
28.037,-0.174,-0.1676,-0.2372,0.339
28.039,0.3342,-0.5559,0.7397,0.984
28.041,0.0142,0.5502,0.0824,0.557
28.042,0.2164,0.4972,-0.0864,0.549
28.043,0.1095,0.2238,-0.0086,0.249
28.095,-0.1469,-0.4271,-0.6466,0.789
28.097,0.2338,-0.5045,-0.2468,0.608
28.099,0.3313,0.7365,1.3035,1.533
28.1,0.6959,1.1546,-0.2732,1.375
28.102,0.4173,0.3247,0.2823,0.599
28.105,0.4097,0.0192,-0.6826,0.796
28.117,0.2668,-0.6674,-0.3414,0.796
28.197,-0.2574,0.0426,-0.296,0.395
28.198,0.0006,0.1522,-0.1787,0.235
28.199,-0.2125,-0.2423,-0.2445,0.404
28.199,-0.118,-0.572,-0.2601,0.639
28.2,-0.6039,-0.5309,-0.5965,1.001
28.2,0.2915,0.3697,-0.6528,0.805
28.201,0.4556,0.9954,0.2702,1.128
28.202,0.3934,0.5447,0.6245,0.917
28.202,0.0317,-0.3952,-1.0777,1.148
28.273,-0.7578,-0.5534,-0.721,1.183
28.275,0.4517,-0.0456,-0.0279,0.455
28.277,0.0561,0.2958,0.1577,0.34
28.277,-0.0223,0.5923,-1.8475,1.94
28.278,-0.3946,-0.785,-0.776,1.172
28.279,-0.8285,-0.7036,-0.43,1.169
28.28,-0.4786,0.5594,-0.6227,0.964
28.282,-0.0583,0.1373,1.4016,1.409
28.295,0.0427,-0.1031,-1.2177,1.223
28.305,-0.7584,-1.2828,0.1291,1.496
28.374,-0.5225,-0.708,-0.9447,1.291
28.374,0.2939,0.4519,0.444,0.698
28.375,0.2777,0.4504,0.7133,0.888
28.375,0.1502,0.3126,0.6906,0.773
28.376,-0.3938,-0.4221,0.0825,0.583
28.377,-0.4066,-0.672,0.225,0.817
28.377,-0.4039,-0.6681,0.225,0.812
28.383,0.7231,0.9355,0.3375,1.23
28.464,-0.0619,-0.1703,0.7577,0.779
28.468,-0.165,-0.4426,-0.7076,0.851
28.474,-0.4776,0.2486,-0.1928,0.572
28.477,-0.3427,-0.034,-1.0499,1.105
28.478,-0.0177,0.4879,-0.1473,0.51
28.479,0.1479,-0.2723,0.8571,0.911
28.482,-0.7829,-0.1157,-1.081,1.34
28.483,-0.7001,-0.8974,-0.9457,1.48
28.484,-0.8959,-0.4708,-0.693,1.227
28.486,0.0424,0.508,0.096,0.519
28.503,-0.2171,-0.7831,1.2681,1.506
28.505,-0.2946,-0.7059,-1.7821,1.939
28.581,-0.4464,-0.9979,-0.1946,1.11
28.581,-0.4212,0.0504,-0.3297,0.537
28.582,0.2301,0.5027,0.5623,0.789
28.583,0.1272,-0.414,-0.4145,0.6
28.583,-0.4827,-0.5458,-0.6035,0.946
28.584,-0.7596,-0.5817,-0.2455,0.988
28.584,-0.209,-0.0094,0.1055,0.234
28.585,0.5562,1.0233,0.2265,1.187
28.665,0.7352,0.6988,0.6539,1.207
28.668,0.0837,-0.0344,0.3595,0.371
28.671,0.7585,0.1935,0.8646,1.166
28.675,-0.4029,-0.0163,-2.382,2.416
28.678,0.0465,0.4795,-0.4762,0.677
28.68,0.3737,0.3886,-1.143,1.264
28.682,0.865,-0.0208,0.3749,0.943
28.684,-0.7338,-0.2616,0.4956,0.923
28.685,-0.3872,0.4799,-0.674,0.913
28.686,0.4971,0.4148,-0.2717,0.702
28.7,-0.0373,-0.1083,0.1749,0.209
28.703,0.6928,-0.7669,1.6712,1.965
28.784,-0.4222,-0.3711,-0.9685,1.12
28.785,0.6241,0.6502,0.2812,0.944
28.786,0.1305,0.553,-0.6082,0.832
28.786,0.5039,0.2359,0.5445,0.778
28.787,0.0581,-0.3389,0.3374,0.482
28.788,0.0222,-0.5635,-0.9951,1.144
28.788,0.3366,0.7837,0.5204,0.999
28.789,0.2724,0.7397,0.3587,0.866
28.878,0.6069,0.3872,0.0929,0.726
28.882,-0.5203,-0.4581,-0.0425,0.695
28.888,0.2876,0.0394,-0.0389,0.293
28.892,0.0191,0.5667,0.5153,0.766
28.896,0.1673,0.7093,-0.3993,0.831
28.899,0.4263,0.7809,-0.7932,1.192
28.902,0.0716,-0.0276,-0.4078,0.415
28.904,0.3477,-0.7242,0.9042,1.21
28.906,0.0853,0.278,1.1376,1.174
28.908,0.0772,0.7531,-0.2881,0.81
28.91,0.2091,0.2423,-0.014,0.32
28.911,0.4963,0.0512,0.1585,0.524
28.925,0.4982,-0.4197,0.6828,0.944
28.928,0.0246,0.3844,0.0566,0.389
28.934,0.239,1.0098,0.5294,1.165
29.007,0.2104,0.4527,-0.3265,0.597
29.01,0.1497,-0.4229,0.1871,0.486
29.014,-0.2365,-0.2592,0.1739,0.392
29.016,0.1165,0.1551,-0.1374,0.238
29.044,0.2452,0.1117,0.8562,0.898
29.048,0.8863,0.855,0.6922,1.413
29.05,-0.4335,-0.5942,0.2338,0.772
29.051,-0.5506,-0.5491,-0.4929,0.921
29.054,-0.3319,-0.1359,-0.4965,0.612
29.057,0.3496,0.0692,1.0944,1.151
29.059,-0.278,-0.3077,-0.7467,0.854
29.061,-1.3061,-0.9185,-0.8509,1.809
29.063,-0.576,-0.4729,-1.2818,1.483
29.088,-0.2298,-0.1486,0.4755,0.549
29.089,0.6111,0.0424,0.7975,1.006
29.093,-0.4182,-0.0348,0.0697,0.425
29.101,0.0117,-0.4892,-0.4355,0.655
29.114,-0.0921,-0.3781,0.029,0.39
29.191,0.7667,0.316,0.6443,1.05
29.192,0.0134,0.201,0.1726,0.265
29.193,-0.2906,-0.3604,-0.2416,0.522
29.193,-0.2754,-0.6688,-0.3841,0.819
29.194,-0.2221,-0.451,0.2672,0.569
29.195,-0.1465,0.0947,0.7568,0.777
29.195,0.304,0.5989,-0.359,0.762
29.196,-0.2971,-0.3152,0.6813,0.807
29.202,-0.4335,-0.5842,0.4275,0.844
29.276,-0.4768,-0.4594,-0.2656,0.713
29.278,-0.1529,-0.1855,-0.633,0.677
29.279,0.2582,-0.0191,0.3714,0.453
29.281,-0.0454,-0.5756,0.4611,0.739
29.282,-0.0609,-0.2953,0.0625,0.308
29.284,-0.5247,-0.6944,-0.293,0.918
29.285,-0.6055,-0.3387,-0.4163,0.809
29.287,-0.0817,-0.1763,0.405,0.449
29.301,0.8191,0.0839,-0.8531,1.186
29.303,0.3864,-0.6094,-1.0781,1.297
29.385,-0.5285,-0.472,-1.1655,1.364
29.385,-0.4449,0.9848,-0.9703,1.452
29.386,0.1892,0.8201,-0.5597,1.011
29.386,0.2361,0.358,1.4095,1.473
29.387,-0.5152,-0.1426,-1.4253,1.522
29.388,-0.7518,-0.7274,-0.6854,1.251
29.388,0.5645,0.534,-0.0999,0.783
29.388,0.4567,0.9816,0.2258,1.106
29.469,0.2925,0.1602,0.1048,0.35
29.474,-0.5604,-0.5109,-0.0436,0.76
29.477,-0.4248,-0.6019,0.0977,0.743
29.48,0.0219,0.5834,-0.3656,0.689
29.483,0.605,0.5318,0.4269,0.912
29.484,0.0145,-0.1327,0.1983,0.239
29.486,0.0069,-0.6475,-0.0352,0.649
29.488,0.1288,-0.0306,-0.3823,0.405
29.491,-0.4344,0.4139,-0.1226,0.612
29.493,-0.3285,0.7653,-0.5451,0.995
29.495,0.735,-0.0028,0.579,0.936
29.51,0.0075,-0.3677,0.6759,0.77
29.514,0.3157,0.1324,-1.2215,1.269
29.586,-0.3029,0.1614,-1.279,1.324
29.59,0.0091,0.5854,-0.0615,0.589
29.59,1.0061,0.4476,-0.1512,1.111
29.591,0.2634,-0.1102,1.5019,1.529
29.593,0.4832,0.6669,-1.1726,1.433
29.594,-0.0405,0.2568,-0.2557,0.365
29.596,0.0841,0.529,-0.5142,0.743
29.597,0.4328,-0.0103,-0.3646,0.566
29.672,-0.2192,-0.5645,-0.5886,0.844
29.677,-0.1492,-0.1778,-1.4649,1.483
29.681,-0.1814,0.1896,-1.253,1.28
29.684,-0.1821,0.1883,-1.253,1.28
29.686,0.4366,0.0682,0.2733,0.52
29.688,-0.5157,-0.532,-0.3504,0.82
29.691,0.4202,0.2184,-0.688,0.835
29.692,0.419,0.2177,-0.688,0.834
29.694,0.0873,0.2391,0.1224,0.282
29.696,0.499,0.5737,0.0805,0.765
29.71,0.6118,-0.4397,0.6132,0.971
29.714,0.1918,-0.0647,0.424,0.47
29.791,0.0298,0.6394,-1.7392,1.853
29.793,0.0498,0.8268,-0.3649,0.905
29.794,0.0573,0.2305,-0.3576,0.429
29.796,-0.2449,-0.5649,-0.3815,0.724
29.798,-0.1843,-0.8717,0.9819,1.326
29.8,-0.274,0.0457,-1.6266,1.65
29.802,0.1569,0.1418,0.8239,0.851
29.804,-0.4281,-0.265,-1.2219,1.322
29.805,-0.3296,-0.7709,0.4696,0.961
29.882,-0.3137,-0.4593,-0.4247,0.7
29.887,0.5322,0.6461,-0.4977,0.974
29.889,0.3462,1.2178,0.0075,1.266
29.895,0.3674,-0.4052,-0.0619,0.55
29.897,-0.3288,-0.7375,-0.8245,1.154
29.899,-0.1928,-0.3925,-0.7419,0.861
29.9,-0.1924,-0.3905,-0.7419,0.86
29.901,-0.025,0.5821,-0.4115,0.713
29.902,-0.0028,-0.0699,0.1128,0.133
29.903,0.0372,-0.3687,-0.062,0.376
29.916,0.465,-0.2237,0.0206,0.516
29.921,0.6724,0.1864,1.2189,1.404
30.003,0.6666,0.1872,1.2188,1.402
30.004,0.0513,-0.1288,-0.098,0.17
30.004,-0.6431,-0.622,-0.3889,0.976
30.005,-0.431,-0.4389,-0.4584,0.767
30.006,-0.139,-0.7915,1.4414,1.65
30.035,0.325,0.449,-1.1312,1.26
30.041,0.327,0.4497,-1.1312,1.26
30.045,0.3925,-0.4977,-1.0892,1.26
30.047,-0.0703,-0.7834,0.8692,1.172
30.049,0.0612,0.1007,-0.4178,0.434
30.05,-0.612,-0.1671,-0.4214,0.762
30.051,-0.4331,-0.6192,-0.2155,0.786
30.081,-0.4294,-0.612,-0.2155,0.778
30.082,-0.4231,-0.4171,-0.4334,0.735
30.082,0.7759,0.6521,0.085,1.017
30.083,0.6339,0.9213,0.1843,1.133
30.095,0.6475,0.6088,0.413,0.98
30.102,-0.2438,-0.3174,-1.767,1.812
30.171,-0.5431,-0.3922,-0.9542,1.166
30.171,0.2819,0.3696,-0.3125,0.56
30.172,0.8323,0.3823,1.0773,1.414
30.172,-0.7032,0.0478,0.1136,0.714
30.173,-0.4771,-0.7093,-1.0691,1.369
30.173,-0.3471,-0.0963,-0.7614,0.842
30.174,-0.3142,-0.1145,0.152,0.367
30.262,0.1584,-0.4708,1.8914,1.956
30.266,0.1574,-0.4678,1.8914,1.955
30.267,0.2178,-0.5795,0.9996,1.176
30.268,-0.5598,-0.6816,-0.5794,1.055
30.268,0.3536,0.642,0.5795,0.934
30.269,0.4256,0.709,0.619,1.033
30.271,0.0979,0.0675,0.5244,0.538
30.274,-0.3723,-0.6126,0.0887,0.722
30.276,-0.3435,-0.0943,0.0228,0.357
30.278,0.4182,0.5741,-0.1172,0.72
30.312,0.6217,0.6087,0.3796,0.949
30.314,0.0151,-0.0272,0.2431,0.245
30.316,-0.4244,-0.2393,-0.1927,0.524
30.318,-0.161,-0.0445,-1.1923,1.204
30.33,-0.3451,0.1313,-1.051,1.114
30.415,-0.2098,0.6778,0.4622,0.847
30.422,0.7031,0.2621,0.4562,0.878
30.424,-0.534,0.0474,-1.0066,1.141
30.428,-0.7699,-0.24,-1.2149,1.458
30.43,-0.2611,0.0568,-0.5983,0.655
30.434,0.2492,0.6841,0.1177,0.737
30.435,0.1707,-0.6033,0.8276,1.038
30.438,-0.3976,-0.4704,-0.9561,1.137
30.44,-0.7944,-0.7241,0.04,1.076
30.442,-0.3276,0.2085,-0.2939,0.487
30.443,0.6644,1.0392,0.9237,1.541
30.443,0.5549,-0.0514,0.7297,0.918
30.453,-0.3447,-0.5242,-0.6182,0.881
30.462,-0.5493,-0.4134,-0.2974,0.749
30.474,-0.1657,0.2413,-0.0507,0.297
30.494,0.4884,0.6924,0.0631,0.85
30.498,0.4879,0.6909,0.0631,0.848
30.503,-0.3456,-0.2409,-0.3212,0.53
30.516,0.2919,-0.4594,1.3607,1.466
30.522,-0.8144,-0.0699,-1.5446,1.748
30.538,-0.2042,0.2946,-0.1464,0.387
30.542,-0.0499,0.0849,-0.2349,0.255
30.557,-0.1135,-0.5968,0.6282,0.874
30.563,0.2105,-0.4654,0.6378,0.817
30.573,-0.2736,0.6662,-0.1356,0.733
30.589,0.4245,0.339,-0.4084,0.68
30.596,0.2836,0.1251,-0.0624,0.316
30.602,1.1515,-0.2848,0.3889,1.248
30.613,-0.0584,-0.3999,0.4762,0.625
30.621,0.3452,0.6768,-0.4326,0.874
30.634,0.1301,0.9458,0.0893,0.959
30.648,0.5101,0.4195,0.1144,0.67
30.655,0.0604,-0.7263,0.4364,0.849
30.663,-0.0539,0.2512,-1.5341,1.555
30.674,-0.0072,0.4653,-0.3275,0.569
30.682,0.2988,0.3148,0.143,0.457
30.693,-0.1178,-0.2074,-0.4461,0.506
30.701,-0.2802,-0.5073,-0.2916,0.649
30.714,-0.2802,-0.5075,-0.2916,0.649
30.721,0.603,0.5434,0.7079,1.077
30.735,-0.1686,-0.1091,-0.4042,0.451
30.743,0.1951,0.1628,-0.725,0.768
30.753,-0.0843,-0.5497,-0.3958,0.683
30.762,-0.2343,-0.5786,0.6935,0.933
30.773,0.5657,0.1029,0.1081,0.585
30.782,-0.0185,0.4304,-0.0703,0.436
30.793,0.1136,-0.0769,-0.2031,0.245
30.802,0.2229,0.0971,-0.3779,0.449
30.813,0.6078,-0.0392,-0.0535,0.611
30.822,0.3594,0.7687,1.3937,1.632
30.833,0.2284,1.2307,-0.3027,1.288
30.842,0.2255,1.2219,-0.3027,1.279
30.853,0.3712,-0.4024,-0.2572,0.605
30.863,0.0436,0.3259,0.0193,0.329
30.873,0.3466,0.5433,0.2359,0.686
30.881,0.602,0.646,0.6956,1.124
30.894,0.7195,0.4482,0.0552,0.85
30.902,0.2187,-0.5076,0.2407,0.603
30.914,-0.4105,-0.0034,-0.3303,0.527
30.922,-0.2274,-0.1301,-0.4764,0.544
30.934,0.1164,-0.2409,0.2431,0.361
30.941,0.1755,-0.1087,0.2443,0.32
30.955,0.1734,-0.109,0.2443,0.319
30.962,-0.7597,-0.3373,-1.0187,1.315
30.973,0.393,0.3144,1.1277,1.235
30.993,0.9598,0.6079,0.7015,1.335
30.995,0.5729,0.4648,-0.4741,0.877
31.001,-0.0793,-0.7472,-0.7051,1.03
31.013,-0.384,-0.5477,-0.3675,0.763
31.021,0.8212,0.4951,0.6416,1.154
31.034,-0.0491,0.7832,0.9899,1.263
31.042,0.0196,0.665,-0.8608,1.088
31.053,-0.6123,-0.9663,-0.1653,1.156
31.061,-0.3316,-0.7442,-0.1652,0.831
31.073,-0.2632,-0.3248,0.3818,0.566
31.082,0.1853,0.3515,-0.054,0.401
31.093,-0.4351,-0.5161,-0.2982,0.738
31.101,-0.5165,-0.6004,-0.5723,0.977
31.114,-0.0191,0.2679,0.0872,0.282
31.126,-0.1682,-0.1341,-0.2958,0.366
