time,accel1_x,accel1_y,accel1_z,aT
2.284,0.4886,0.7731,1.6196,1.86
2.311,0.3999,0.7813,-1.3755,1.632
2.312,-0.0749,-0.0392,0,0.085
2.312,-0.4576,-0.7783,-0.8044,1.209
2.32,-0.0913,0.1804,-0.2609,0.33
2.332,0.2239,0.5545,-0.0574,0.601
2.341,0.3508,0.6806,0.528,0.93
2.351,0.6742,0.2978,-0.1208,0.747
2.361,-0.6207,-0.9591,0.2768,1.175
2.376,-0.5149,-0.7129,-0.159,0.894
2.384,0.2297,0.0179,-0.3661,0.433
2.419,0.2224,0.627,-0.1818,0.69
2.421,0.2961,0.2446,0.1019,0.397
2.422,-1.4027,-0.8495,-0.8509,1.847
2.423,-0.8669,-0.4578,-0.6067,1.153
2.441,0.4415,-0.222,1.0644,1.174
2.442,0.623,0.5376,1.36,1.59
2.452,0.2468,0.3631,-0.6403,0.776
2.461,-0.6957,-0.9968,-0.4656,1.302
2.471,-1.1223,-0.3461,-0.5626,1.302
2.487,-0.0967,0.3263,-0.0107,0.34
2.51,0.5611,0.7765,1.2319,1.561
2.511,0.1777,-0.2352,-0.7936,0.847
2.513,-0.6384,-1.2812,-0.0969,1.435
2.521,-0.5366,-0.5138,-0.7781,1.076
2.531,-0.0276,0.0791,0.146,0.168
2.542,0.0185,0.1831,0.0933,0.206
2.551,-0.5042,-0.6053,-0.8344,1.148
2.562,-0.8303,-0.9126,-0.6417,1.391
2.572,-0.7691,-0.9327,-0.0312,1.209
2.583,0.102,0.329,0.0346,0.346
2.621,0.6127,1.0862,0.1711,1.259
2.622,0.8052,0.4598,-0.036,0.928
2.623,0.0783,-0.0829,0.4536,0.468
2.624,-0.2142,0.1096,-1.3385,1.36
2.632,-0.6103,-0.0452,-0.5089,0.796
2.644,1.2194,0.5183,0.3112,1.361
2.652,0.0829,-0.177,0.0681,0.207
2.662,-0.5033,0.0423,-1.196,1.298
2.677,-0.8422,-0.3474,-0.8668,1.258
2.685,-0.971,0.0368,-0.0144,0.972
2.714,-0.0008,0.2634,0.1269,0.292
2.715,-0.0274,-0.5808,1.8963,1.983
2.716,-0.2579,-0.4404,-1.9883,2.053
2.721,-0.8242,-1.0502,0.5053,1.427
2.733,-0.4378,0.4783,-0.4595,0.795
2.744,0.6173,0.8465,0.806,1.322
2.753,-0.1458,-0.3746,0.0195,0.402
2.764,0.0803,-0.3697,-0.6017,0.711
2.772,-0.225,-0.9143,-0.4461,1.042
2.781,0.2479,0.4686,0.0938,0.538
2.813,0.7995,0.9643,0.1561,1.262
2.816,0.2008,0.0576,0.1082,0.235
2.818,-0.4339,-0.7767,0.4936,1.017
2.821,-0.4352,0.3638,-0.5443,0.786
2.839,-0.1195,0.8726,0.0591,0.883
2.845,0.1643,1.0102,-0.1779,1.039
2.852,1.2581,0.3008,-0.2844,1.324
2.861,0.6967,-0.4214,0.8157,1.153
2.872,-0.3967,0.2881,-0.6735,0.833
2.881,0.0095,0.5453,-0.2785,0.612
2.908,0.2685,0.8717,0.0915,0.917
2.91,0.6544,0.4107,0.0113,0.773
2.912,0.263,-0.921,1.3425,1.649
2.921,-0.3549,0.0133,-1.7437,1.779
2.932,-0.2322,-0.3997,0.2327,0.518
2.943,-0.23,0.0139,-0.1791,0.292
4.808,-0.1974,0.4758,-0.5448,0.75
4.808,0.4143,0.6094,-0.4106,0.844
4.809,0.7896,0.8475,0.0407,1.159
4.816,0.5136,-0.0221,-0.6633,0.839
4.821,0.0136,0.2224,0.669,0.705
4.834,-0.1374,0.884,-0.8539,1.237
4.841,0.043,0.99,-0.4492,1.088
4.853,0.7766,0.5468,-0.5115,1.079
4.862,0.5823,-0.1851,0.0176,0.611
4.872,0.1574,0.1911,-0.7439,0.784
4.887,0.5054,0.8248,0.1419,0.978
4.892,0.9967,1.0467,0.3107,1.478
4.936,0.3698,-0.1535,-0.1958,0.446
4.938,0.1318,-0.4925,-0.2772,0.58
4.94,-0.5904,-0.6163,-0.7992,1.169
4.942,0.1904,-0.2123,0.8672,0.913
4.943,0.1382,0.3704,-0.7478,0.846
4.952,-0.4945,-0.262,-0.0535,0.562
4.961,-0.7627,-0.7161,-0.8675,1.359
4.972,-0.4557,-0.1946,0.6337,0.804
4.989,-0.4551,-0.1932,0.6337,0.804
4.997,0.1607,0.2253,0.4684,0.544
5.001,0.2413,0.9671,-0.0415,0.998
5.045,0.1015,-0.3623,-0.9692,1.04
5.046,0.3842,-0.4803,0.3811,0.724
5.046,-0.2309,0.2252,0.3763,0.496
5.047,0.3858,0.9309,-0.239,1.036
5.052,0.2672,0.3633,-0.0858,0.459
5.062,-0.0374,-0.6913,-0.0199,0.693
5.074,-0.3946,-0.7736,0.2004,0.891
5.096,-0.0189,0.3151,-0.5945,0.673
5.099,0.5189,0.7104,0.2267,0.908
5.102,0.1885,-0.1937,-0.1312,0.3
5.112,-0.8058,-0.7117,-0.5059,1.188
5.124,-0.6438,-1.004,-0.4114,1.262
5.133,-0.1845,-0.2794,-0.4258,0.542
5.141,0.7011,0.8873,-0.2331,1.155
5.153,0.4305,0.4077,0.6276,0.863
5.161,-0.3042,-0.8975,-0.3289,1.003
5.172,-0.6719,-0.6287,-0.5875,1.092
5.188,0.3144,-0.4687,1.1495,1.281
5.193,0.3462,0.0849,-0.4882,0.605
5.235,0.1829,-0.2395,-1.2927,1.327
5.238,-0.4847,-0.9265,-0.4871,1.153
5.239,-0.6297,-0.2938,-0.6033,0.92
5.24,-0.7487,-0.3052,0.3113,0.866
5.241,0.1555,0.6057,1.0654,1.235
5.252,0.0978,-0.1361,-1.0894,1.102
5.261,-0.5742,-1.0479,-0.1915,1.21
5.272,-0.5214,-0.4973,-0.626,0.954
5.291,-0.0188,0.6811,0.1294,0.694
5.295,-0.0145,0.6844,0.1294,0.697
10.584,-0.0749,-0.7434,-0.1793,0.768
10.585,0.0046,0.1136,-1.3478,1.353
10.598,0.0006,0.1139,-1.3479,1.353
10.601,0.4122,-0.0076,-0.2514,0.483
10.62,-0.3352,-0.5566,-0.4358,0.782
10.623,-0.6679,-0.4197,-0.637,1.014
10.678,-0.1224,-0.5403,-0.8656,1.028
10.681,0.2284,-0.0477,0.9,0.93
10.682,-0.6737,-0.5196,-0.6263,1.056
10.682,-0.1786,-1.0195,-1.0836,1.499
10.683,-0.4055,-0.5349,0.0643,0.674
10.684,0.3808,0.3508,0.6305,0.816
10.694,0.8357,0.2553,0.6795,1.107
10.701,-0.2335,-0.1223,-0.0304,0.265
10.723,-0.2076,-0.6065,-0.7079,0.955
10.726,-0.3804,-0.2956,-0.35,0.595
10.776,0.8847,0.3894,1.2792,1.603
10.778,0.0786,0.2624,0.6698,0.724
10.78,0.2825,0.3349,1.0218,1.112
10.781,0.2287,-0.1749,-0.064,0.295
10.782,0.1841,0.2277,1.0888,1.127
10.783,0.665,0.8358,1.3006,1.683
10.792,0.6114,0.8158,-0.0581,1.021
10.805,0.1368,-0.0549,0.2399,0.282
10.855,-0.0896,-0.398,-0.1515,0.435
10.857,-0.4484,-0.1713,-0.4317,0.646
10.858,-0.3158,0.2115,-0.5382,0.659
10.858,0.2938,0.2275,-0.3203,0.491
10.859,0.5957,-0.1212,0.0268,0.608
10.864,0.0291,-0.4815,0.0532,0.485
10.872,-0.975,-0.5349,-0.288,1.149
10.883,-0.0584,0.5106,-0.1324,0.531
10.892,0.001,0.2569,1.7949,1.813
10.908,0.8765,0.2158,0.6696,1.124
10.914,-0.0481,-0.6483,-0.9441,1.146
10.979,-0.7963,-0.7804,-1.1488,1.601
10.98,-0.3484,0.527,-0.3635,0.729
10.98,0.2276,0.9562,-0.3802,1.054
10.981,0.6041,0.3258,1.2107,1.392
10.981,0.0732,0.4411,-0.5298,0.693
10.982,-0.1692,-0.3169,-0.3144,0.477
10.998,-0.1258,0.358,-0.7537,0.844
11.002,0.3688,0.8622,0.0436,0.939
11.007,-0.1054,-0.1465,0.507,0.538
11.018,-0.502,-0.7392,-0.9894,1.333
11.023,-0.5962,-0.5463,-0.4507,0.926
11.037,-0.1966,0.1762,0.2233,0.346
11.042,0.5624,0.5625,0.6196,1.008
11.109,-0.45,-0.3649,-0.4064,0.708
11.113,0.2722,-0.657,-0.3034,0.773
11.114,-0.54,-0.72,-0.9055,1.277
11.116,-0.7754,0.1907,-0.4483,0.916
11.119,0.086,0.9266,-0.1071,0.937
11.122,0.7501,-0.2881,1.0565,1.327
11.123,0.0842,-0.3527,-0.149,0.392
11.124,0.1979,0.0888,-1.1354,1.156
11.134,-0.3734,0.5634,-0.4099,0.79
11.141,-0.7828,0.3848,-0.5069,1.009
11.155,0.3685,-0.0747,-0.6529,0.753
11.161,-0.0534,-0.2128,0.9237,0.949
11.219,-0.0428,-0.0174,-1.6943,1.695
11.221,-0.6318,-0.3561,-0.6193,0.954
11.222,-0.3525,0.7618,-0.4385,0.947
11.223,0.2307,-0.2309,0.4043,0.52
11.223,-0.4895,-0.6333,-0.6611,1.038
11.224,-0.5318,-0.2403,-1.772,1.866
11.232,-0.2456,0.0018,-0.5054,0.562
11.241,0.3349,0.5348,0.0729,0.635
11.255,-0.0052,-0.1542,-0.3724,0.403
11.262,0.3178,-0.1164,0.0262,0.339
11.331,0.049,-0.4294,0.116,0.447
11.333,0.6205,0.8206,0.6655,1.225
11.334,0.7426,1.1166,1.2604,1.84
11.336,0.6901,0.2803,0.189,0.768
11.337,0.5285,-0.6226,2.1331,2.284
11.338,-0.1781,-0.0561,-0.0325,0.19
11.339,0.3928,0.7112,-0.5414,0.976
11.342,0.3878,0.7063,-0.5414,0.971
11.353,-0.6721,-0.035,-0.1523,0.69
11.362,-0.8924,-0.7067,-0.6515,1.312
11.378,-0.3614,-1.1578,1.4638,1.901
11.383,-0.0387,0.316,-2.0426,2.067
11.393,0.0292,0.5105,1.1237,1.235
11.438,0.2728,0.4884,-0.9628,1.114
11.44,-0.1438,-0.5429,0.6952,0.894
11.441,-0.637,-0.4339,-0.3223,0.835
11.442,0.115,0.3289,0.5611,0.661
11.443,0.3096,0.7459,0.6629,1.045
14.114,0.18,-0.3257,-1.0878,1.15
14.175,0.4348,0.4551,1.1878,1.344
14.178,0.4848,0.9131,-0.8773,1.356
