time,accel1_x,accel1_y,accel1_z,accel2_x,accel2_y,accel2_z
91850,4.0,-430.0,-502.0,4.0,-430.0,-502.0
91860,-63.0,-126.5,-499.0,-63.0,-126.5,-499.0
91870,-190.0,-509.0,-487.0,-190.0,-509.0,-487.0
91880,21.0,-43.0,-298.0,19.0,-11.5,-274.5
91890,-190.0,85.0,-224.0,-190.0,85.0,-224.0
91900,128.0,-343.0,-255.0,128.0,-343.0,-255.0
91910,164.5,-171.5,-364.0,164.5,-171.5,-364.0
91920,231.0,8.0,-480.0,-507.0,-496.0,-296.0
91930,-300.5,-243.0,-257.5,-300.5,-243.0,-257.5
91940,-94.0,10.0,-219.0,-245.0,0.0,-404.0
91950,-245.0,0.0,-404.0,-245.0,0.0,-404.0
91960,63.5,238.0,-237.0,63.5,238.0,-237.0
91970,122.0,113.0,-252.0,40.0,1.0,-253.0
91980,-44.0,-170.5,-410.5,-44.0,-170.5,-410.5
91990,4.0,-252.0,-384.0,4.0,-252.0,-384.0
92000,4.0,-252.0,-384.0,4.0,-252.0,-384.0
92010,49.0,-238.0,-403.5,49.0,-238.0,-403.5
92020,32.0,12.0,-286.0,-379.0,13.0,-448.0
92030,-188.5,7.5,-348.0,-188.5,7.5,-348.0
92040,-159.0,-223.0,-339.0,-416.0,-224.0,-455.0
92050,40.0,-440.0,-479.0,40.0,-440.0,-479.0
92060,-170.0,-347.0,-479.5,-364.0,-214.0,-448.0
92070,161.0,416.0,-183.0,161.0,416.0,-183.0
92080,90.5,319.0,-218.5,90.5,319.0,-218.5
92090,16.0,144.0,-246.0,16.0,144.0,-246.0
92100,67.0,12.0,-254.0,67.0,12.0,-254.0
92110,41.0,-428.0,-495.0,41.0,-428.0,-495.0
92120,4.0,1.0,-414.0,4.0,1.0,-414.0
92130,-94.0,33.0,-459.0,-94.0,33.0,-459.0
92140,96.0,0.0,-315.0,96.0,0.0,-315.0
92150,192.0,74.0,-383.0,320.0,84.0,-254.0
92160,64.0,74.0,-512.0,64.0,74.0,-512.0
92170,32.0,73.0,-382.0,40.0,73.0,-254.0
92180,-89.0,285.0,-251.0,-89.0,285.0,-251.0
92190,74.0,172.0,17.0,74.0,172.0,17.0
92200,32.0,97.0,-240.0,32.0,97.0,-240.0
92210,50.5,82.0,-250.0,51.0,146.0,-252.0
92220,-252.0,103.0,-479.0,-252.0,103.0,-479.0
92230,142.0,271.0,-512.0,149.0,148.5,-509.0
92240,12.0,26.0,-464.0,12.0,26.0,-464.0
92250,144.0,196.0,-255.0,74.0,173.0,-249.0
92260,1.0,150.0,-510.0,1.0,150.0,-510.0
92270,64.0,207.0,-488.0,64.0,207.0,-488.0
92280,0.0,406.0,-303.5,0.0,406.0,-248.0
92290,162.0,511.0,-319.0,162.0,511.0,-319.0
92300,0.0,299.0,-120.0,0.0,299.0,-120.0
92310,29.0,159.5,-303.5,42.5,139.5,-331.5
92320,68.0,276.0,-472.0,68.0,276.0,-472.0
92330,32.0,340.0,-440.0,32.0,378.5,-316.0
92340,32.0,417.0,-252.0,32.0,417.0,-252.0
92350,113.5,264.0,-243.0,113.5,264.0,-243.0
92360,98.0,360.0,-248.0,96.0,400.0,-120.0
92370,80.0,455.5,-190.0,81.5,342.0,-190.0
92380,3.0,284.0,-256.0,3.0,284.0,-256.0
92390,4.0,184.0,-223.0,4.0,184.0,-223.0
92400,-128.0,291.0,-406.0,1.0,295.5,-424.0
92410,130.0,207.0,-432.0,130.0,207.0,-432.0
92420,57.5,150.0,-236.0,57.5,150.0,-236.0
92430,81.0,148.0,-224.0,81.0,148.0,-224.0
92440,-52.0,434.5,-49.0,-52.0,434.5,-49.0
92450,-104.0,511.0,24.0,-207.0,245.0,-230.0
92460,-236.0,133.0,-254.0,-236.0,133.0,-254.0
92470,64.0,62.5,-335.0,-64.0,62.5,-336.0
92480,-128.0,71.0,-512.0,-120.0,0.0,-256.0
92500,6.0,32.0,40.0,6.0,32.0,40.0
92510,-61.0,146.0,44.5,-208.0,373.5,41.5
92520,-240.0,0.0,-187.0,-240.0,0.0,-125.0
92530,-240.0,0.0,-125.0,-120.0,0.0,-381.0
92540,-116.5,255.5,-420.0,-116.5,255.5,-420.0
92550,21.0,301.0,-464.0,292.0,5.0,-384.0
92560,154.5,18.5,-320.0,154.5,18.5,-320.0
92570,434.0,370.0,-416.0,434.0,370.0,-416.0
92580,130.0,370.0,-224.0,130.0,370.0,-224.0
92590,90.5,168.0,-247.0,90.5,168.0,-247.0
92600,-512.0,-512.0,-236.0,-512.0,-512.0,-236.0
92610,-283.5,-399.0,-373.5,-283.5,-399.0,-373.5
92620,32.0,128.0,-437.0,32.0,128.0,-437.0
92630,17.0,192.5,-334.5,16.5,80.5,-342.5
92640,36.5,-139.0,-251.0,36.5,-139.0,-251.0
92650,-512.0,-512.0,-504.0,-512.0,-512.0,-504.0
92660,-70.0,154.5,-465.5,-70.0,154.5,-465.5
92670,-253.0,17.0,-512.0,-253.0,17.0,-512.0
92680,132.0,260.0,-511.0,132.0,260.0,-511.0
92690,8.0,-502.0,-384.0,8.0,-502.0,-384.0
92700,-160.0,-512.0,-510.0,-160.0,-512.0,-510.0
92710,129.0,-480.0,-512.0,129.0,-480.0,-512.0
92720,2.0,146.0,-412.0,2.0,146.0,-412.0
92730,64.0,1.0,-440.0,64.0,1.0,-440.0
92740,56.0,-512.0,-302.0,56.0,-512.0,-302.0
92750,261.0,-512.0,-506.0,261.0,-512.0,-506.0
92760,172.5,34.5,-359.0,34.0,69.0,-447.0
92770,2.0,420.0,-249.0,2.0,420.0,-249.0
92780,-256.0,6.0,-204.0,-256.0,6.0,-204.0
92790,151.5,259.0,-207.5,151.5,259.0,-207.5
92800,60.0,66.0,-504.0,60.0,66.0,-504.0
92810,-93.0,296.0,-396.0,-93.0,296.0,-396.0
92820,-245.0,264.0,-254.0,-245.0,264.0,-254.0
92830,-120.0,0.0,-215.5,-120.0,0.0,-215.5
92840,-120.0,0.0,-255.0,-120.0,0.0,-255.0
92850,1.0,64.0,-247.0,1.0,64.0,-247.0
92860,-159.0,260.0,-210.0,-205.0,294.0,-219.5
92870,-128.0,53.0,-221.0,-120.0,4.0,-333.0
92880,16.0,-77.0,-447.0,16.0,-77.0,-447.0
92890,-10.0,-189.5,-362.0,-10.0,-189.5,-362.0
92900,-128.0,1.0,-384.0,-86.0,9.0,-373.0
92910,-16.0,12.0,-501.0,-16.0,12.0,-501.0
92920,-240.0,0.0,-489.0,-240.0,0.0,-489.0
92930,257.0,-496.0,-320.0,257.0,-496.0,-320.0
92940,68.0,-187.0,-368.0,68.0,-187.0,-368.0
92950,136.0,410.0,-288.0,136.0,410.0,-288.0
92960,48.0,235.0,-304.0,48.0,235.0,-304.0
92970,128.0,352.0,-171.0,128.0,352.5,-172.0
92980,64.0,273.0,-187.0,64.0,152.0,-443.0
92990,-64.0,-492.0,-356.0,-64.0,-492.0,-356.0
93000,-88.0,336.0,-254.0,-88.0,336.0,-254.0
93010,-88.0,-359.0,-255.0,-88.0,-359.0,-255.0
93020,1.0,-512.0,-247.0,1.0,-512.0,-247.0
93030,3.0,-150.5,-304.0,3.0,-150.5,-304.0
93040,495.0,211.0,-378.0,495.0,211.0,-378.0
93050,449.0,188.0,-282.0,449.0,188.0,-282.0
93060,17.0,192.5,-256.0,13.0,193.5,-248.0
93070,145.0,511.0,-253.0,145.0,511.0,-253.0
93080,-110.5,251.0,-234.5,-110.5,251.0,-234.5
93090,-110.5,0.0,-240.0,289.0,160.0,-256.0
93110,242.0,322.0,-319.0,242.0,322.0,-319.0
93120,36.5,-256.0,-431.0,36.5,-256.0,-431.0
93130,255.0,424.5,-423.0,288.0,456.5,-408.0
93140,502.0,0.0,-256.0,502.0,0.0,-256.0
93150,-62.0,0.0,-496.0,-62.0,0.0,-496.0
93160,67.0,9.0,-512.0,323.0,137.0,-490.5
93170,144.0,0.0,-509.0,144.0,0.0,-509.0
93180,65.0,0.0,-371.0,65.0,0.0,-371.0
93190,-10.5,0.0,-473.5,-10.5,0.0,-473.5
93200,-319.0,349.0,-392.0,193.0,349.0,-479.0
93210,0.0,0.0,-372.0,0.0,0.0,-372.0
93220,1.0,196.0,-255.0,1.0,196.0,-255.0
93230,16.0,48.0,-501.0,16.0,48.0,-501.0
93240,45.5,-223.0,-496.5,68.5,-223.0,-487.0
93250,11.0,-512.0,-368.0,11.0,-512.0,-368.0
93260,128.0,-95.0,-373.5,128.0,-95.0,-373.5
93270,1.0,29.0,-354.0,1.0,29.0,-354.0
93280,9.0,9.0,-444.0,132.0,-502.0,-444.0
93290,4.0,-239.0,-452.0,4.0,-239.0,-452.0
93300,-40.0,-382.0,-367.0,-40.0,-382.0,-367.0
93320,22.0,0.0,-478.0,22.0,0.0,-478.0
93330,16.0,386.0,-364.0,52.0,217.5,-460.0
