time,accel1_x,accel1_y,accel1_z,accel2_x,accel2_y,accel2_z,accel3_x,accel3_y,accel3_z,accel4_x,accel4_y,accel4_z
1520,52,-88,-70,-72,-90,1010,124,36,56,124,36,56
1530,28,-28,124,-100,6,930,54,-90,-86,54,-90,-86
1540,6,-72,108,62,-60,2000,64,42,102,64,42,102
1550,74,-98,52,124,-62,2540,-96,-64,-98,-96,-64,-98
1560,-94,-52,-30,-100,40,-1050,40,16,120,40,16,120
1570,52,-52,124,-16,-108,1150,-2,-86,122,-2,-86,122
1581,-20,54,-108,-74,-100,2410,82,-72,-62,82,-72,-62
1590,-88,98,42,0,-2,3060,-26,-44,38,-26,-44,38
1600,-20,78,-28,82,-102,3330,10,-124,38,10,-124,38
1610,-48,108,82,-50,-46,2320,-64,-114,20,-64,-114,20
1620,92,-92,-68,-14,34,2670,-16,-104,-84,-16,-104,-84
1630,126,48,-94,42,116,1830,90,-94,76,90,-94,76
1640,126,48,-94,78,-106,2260,66,-104,40,66,-104,40
1650,-72,28,46,-38,4,2220,-46,-34,92,-46,-34,92
1660,84,-68,10,-54,10,1530,-86,56,-84,-86,56,-84
1670,-114,-54,12,-88,-102,2660,50,66,0,50,66,0
1680,62,-118,-118,112,40,2360,-126,-44,-90,-126,-44,-90
1690,78,108,-116,-114,110,1870,-10,106,-24,-10,106,-24
1700,24,-118,-50,6,-26,2020,50,-100,-84,50,-100,-84
1710,-122,-8,12,82,-60,1630,54,-14,32,54,-14,32
1720,-54,-8,18,-86,-80,1060,14,-110,94,14,-110,94
1730,36,-18,42,86,-4,850,14,-114,-94,14,-114,-94
1740,102,48,-80,6,-70,1890,-126,-94,92,-126,-94,92
1751,14,38,122,84,-82,2690,-16,-34,-64,-16,-34,-64
1760,-64,-2,-102,-58,-96,-520,-92,16,112,-92,16,112
1770,-104,84,-106,-18,-58,2440,2,-68,82,2,-68,82
1780,56,-92,-18,102,100,2680,-56,96,88,-56,96,88
1790,60,-38,-10,-108,84,3330,-126,-84,88,-126,-84,88
1800,100,118,58,-52,10,2690,-100,-104,-80,-100,-104,-80
1810,-42,8,-2,-94,110,2300,90,-104,-54,90,-104,-54
1820,-108,-72,-80,-58,-36,2600,-20,112,46,-20,112,46
1830,-70,54,-104,78,-84,1610,126,102,-110,126,102,-110
1840,-106,-72,-94,38,-26,2690,-10,-104,56,-10,-104,56
1850,-28,58,-76,72,0,2090,-126,-4,-50,-126,-4,-50
1860,68,-88,-118,86,80,2040,120,96,-106,120,96,-106
1870,108,-58,122,-4,124,2900,-70,-34,40,-70,-34,40
1881,-42,-12,-62,102,-86,2240,120,122,16,120,122,16
1890,60,-42,-128,62,-120,1920,22,36,-48,22,36,-48
1900,14,18,-120,-78,-106,1880,74,-4,88,74,-4,88
1910,-128,68,96,106,-82,2370,84,56,18,84,56,18
1921,-54,-88,-30,-106,-4,990,-86,26,26,-86,26,26
1930,-68,-112,18,-92,-90,1160,80,-104,82,80,-104,82
1940,12,58,-56,64,-84,980,14,16,50,14,16,50
1950,74,98,6,-6,-10,1290,118,36,-8,118,36,-8
1960,92,44,34,-26,-6,2010,16,-58,68,16,-58,68
1970,100,-38,-28,-122,40,2400,96,46,58,96,46,58
1980,-124,-48,102,-54,108,3740,-126,106,-38,-126,106,-38
2000,-8,-128,100,22,-6,2450,70,-44,-104,70,-44,-104
2010,-74,8,30,2,50,2310,70,-44,-104,-46,16,56
2020,64,104,68,-38,46,1600,-46,16,56,-70,-54,-110
2030,-4,-42,118,-32,24,2750,-70,-54,-110,-76,66,46
2040,8,-62,40,-124,-30,2030,-76,66,46,120,26,66
2051,18,48,-26,112,60,2050,120,26,66,54,46,80
2060,2,-108,-124,-84,-102,2600,54,46,80,60,126,80
2070,-88,88,102,-14,-36,2360,60,126,80,60,126,80
2080,34,104,-124,-108,0,1820,90,-104,6,90,-104,6
2091,100,118,28,-98,14,1960,80,66,-24,80,66,-24
2100,-52,-88,30,-100,44,2160,34,10,112,34,10,112
2110,12,-68,64,84,66,970,-122,96,68,-122,96,68
2120,76,2,58,-106,30,940,34,46,-50,34,46,-50
2130,-28,-102,-98,66,46,1200,104,-114,-28,104,-114,-28
2140,-32,-2,-68,110,62,890,-96,-74,96,-96,-74,96
2150,-118,-14,96,116,46,1360,-6,76,-32,-6,76,-32
2160,100,-32,52,38,-96,1950,-84,72,118,-84,72,118
2170,-28,118,-104,-58,94,2850,-96,46,28,-96,46,28
2180,-64,84,28,-40,98,3600,-102,126,-8,-102,126,-8
2190,52,98,-42,50,100,2460,20,-44,-16,20,-44,-16
2200,-124,28,78,104,-50,2370,-116,-74,112,-116,-74,112
2210,-32,44,8,-108,70,2330,-106,-44,6,-106,-44,6
2221,72,-62,-28,-68,56,1750,106,-74,-126,106,-74,-126
2230,-22,-72,0,-92,-56,2860,60,-44,-100,60,-44,-100
2240,98,48,-52,-84,-20,1930,40,12,-52,40,12,-52
2250,88,108,68,-44,-6,2210,60,-124,126,60,-124,126
2260,-28,88,-38,42,64,2570,100,96,-86,100,96,-86
2270,78,18,24,-104,-126,2450,120,-44,-40,120,-44,-40
2280,-34,18,-98,16,-70,1960,10,82,-54,10,82,-54
2290,94,-118,58,68,-66,1780,-40,80,126,-40,80,126
2300,-48,-38,84,36,-6,2110,-92,52,-52,-92,52,-52
2310,126,-88,-108,-86,-54,610,-46,-120,-6,-46,-120,-6
2320,-42,18,32,50,126,790,-76,72,-104,-76,72,-104
2330,82,-2,-114,46,-4,1500,24,-124,76,24,-124,76
2340,-12,-108,-106,50,94,2470,-52,26,4,-52,26,4
2350,32,-106,-32,-60,32,260,-80,32,30,-80,32,30
2360,36,-68,58,-74,-92,2430,-20,66,-16,-20,66,-16
2370,110,-118,42,-14,36,1900,-106,-70,-72,-106,-70,-72
2380,96,-92,32,114,-48,3830,60,-84,-12,60,-84,-12
2391,-68,38,-44,-48,14,2710,-10,-114,84,-10,-114,84
2400,102,28,68,72,-52,3070,110,-24,126,110,-24,126
2410,-26,-62,6,42,-14,1740,-10,-124,-120,-10,-124,-120
2420,-94,-52,-24,-62,-66,2660,76,72,-110,76,72,-110
2430,-68,-22,-120,72,70,2340,10,82,-98,10,82,-98
2440,104,28,-126,-74,-30,1810,-20,-84,-14,-20,-84,-14
2450,-58,98,48,-54,-12,2660,40,16,-50,40,16,-50
2460,118,88,48,22,70,2280,120,-44,62,120,-44,62
2470,120,28,112,112,30,1710,-76,122,72,-76,122,72
2480,-62,-128,124,-128,-56,1900,96,26,-4,96,26,-4
